CATEGORIA;PRODUCTS;Pto fusión [°F];Cp sobre pto cong. [Btu/lb°F];Cp debajo pto cong. [Btu/lb°F];Latente [Btu/lb];0;5,00 ;10;15;20
frutas;Pera;29,1;0,91;0,49;120;1513;1513;1513;1513;1513
frutas;Piña;30,2;0,92;0,46;124;1225;1225;1225;1225;1225,00 
frutas;Pomelo, toronja;30;0,95;0,45;131;2810;2810;2810;2810;2810,00 
frutas;Sandía;31,3;0,95;0,42;132;1657;1657;1657;1657;1657
frutas;Uva americana;29,1;0,89;0,49;117;612;1189;1189;1189;1189
frutas;Uva Europea;28,2;0,88;0,52;116;505;1296;1296;1296;1296
frutas;Uva pasa;FALTA;0,49;0,49;22;0;0;0;0;0
frutas;Uva pasa Blanca;30,2;0,92;0,47;120;0;0;0;0;0
frutas;Uva pasa negra;30,2;0,89;0,47;118;0;0;0;0;0
pescados y mariscos;Almejas;28;0,9;0,51;117;0;0;0;0;0
pescados y mariscos;Atún;28;0,82;0,52;98;0;0;0;0;0
pescados y mariscos;Bacalao;28;0,9;0,51;117;0;0;0;0;0
pescados y mariscos;Camarón;28;0,87;0,52;109;0;0;0;0;0
pescados y mariscos;Langosta;28;0,87;0,51;110;0;0;0;0;0
pescados y mariscos;Ostras;28;0,91;0,51;122;0;0;0;0;0
pescados y mariscos;Pescado: Arenque;28;0,78;0,54;86;0;0;0;0;0
pescados y mariscos;Pescado: Caballa;28;80;0,53;91;0;0;0;0;0
pescados y mariscos;Pescado: Fletan;28;0,89;0,52;112;0;0;0;0;0
pescados y mariscos;Pescado: Merlan;28;0,9;0,51;115;0;0;0;0;0
pescados y mariscos;Pescado:Eglefino, abadejo;28;0,9;0,51;115;0;0;0;0;0
pescados y mariscos;Salmón;28;0,88;0,52;110;0;0;0;0;0
pescados y mariscos;Vieira;28;0,89;0,51;113;0;0;0;0;0
res;Res canal;28;0,77;0,55;82;0;0;0;0;0
res;Res costilla;FALTA;0,75;0,55;78;0;0;0;0;0
res;Res lomo corto, bistek;FALTA;0,83;0,51;100;0;0;0;0;0
res;Res magra;28,9;0,78;0,54;83;0;0;0;0;0
res;Res solomo;28,9;0,84;0,5;103;0;0;0;0;0
res;Res, higado;28,9;0,83;0,52;99;0;0;0;0;0
res;Res, pecho, falda;FALTA;0,76;0,56;79;0;0;0;0;0
res;Res, redondo;FALTA;0,81;0,52;93;0;0;0;0;0
res;Res, Solomillo, filete;FALTA;0,82;0,51;98;0;0;0;0;0
res;res, ternera;FALTA;0,87;0,5;5;0;0;0;0;0
cerdo;Cedo, tocino, tocineta;FALTA;0,64;0,64;45;0;0;0;0;0
cerdo;Cerdo, canal;FALTA;0,74;0,74;71;0;0;0;0;0
cerdo;Cerdo, grasa trasera;FALTA;0,52;0,71;11;0;0;0;0;0
cerdo;Cerdo, jamón, curado, magro;FALTA;0,83;0,53;98;0;0;0;0;0
cerdo;Cerdo, Paleta;28;0,86;0,53;104;0;0;0;0;0
cerdo;Cerdo, panza;FALTA;0,67;0,8;53;0;0;0;0;0
salchichas;Salchicha ahumada;FALTA;0,67;0,59;56;0;0;0;0;0
salchichas;Salchicha Braunschweiger;FALTA;0,72;0,57;69;0;0;0;0;0
salchichas;Salchicha de cerdo;FALTA;0,7;0,58;64;0;0;0;0;0
salchichas;Salchicha Frankfurter;28,9;0,75;0,55;77;0;0;0;0;0
salchichas;Salchicha italiana (chorizo);FALTA;0,74;0,57;74;0;0;0;0;0
salchichas;Salchicha polaca;FALTA;0,75;0,56;77;0;0;0;0;0
aves;Pato;FALTA;0,73;0,59;70;0;0;0;0;0
aves;Pavo;FALTA;0,84;0,54;101;0;0;0;0;0
aves;Pollo;27;0,79;0,42;95;0;0;0;0;0
huevos;Huevo Clara;30,9;0,93;0,43;126;0;0;0;0;0
huevos;Huevo deshidratado;FALTA;0,55;0,5;21;0;0;0;0;0
huevos;Huevo entero;30,9;0,87;0,47;108;0;0;0;0;0
